English,Romanian
listen,asculta
whisper,şoaptă
won't,nu
happy,fericit
ground,sol
deep,adânc
drop,cădere brusca
shrug,ridicare din umeri
dress,rochie
fell,căzut
there's,Există
yell,strigăt
breath,suflare
air,aer
tear,rupere
sister,sora
chair,scaun
kitchen,bucătărie
matter,chestiune
hurt,rănit
fall,toamna
wear,purta
isn't,nu este
woman,femeie
eat,mânca
lie,minciună
hell,iad
suppose,presupune
cover,acoperi
couple,cuplu
large,mare
either,fie
five,cinci
leg,picior
jump,a sari
die,a muri
return,întoarcere
able,capabil
bag,sac
alone,singur
shut,închis
stuff,chestie
short,mic de statura
ready,gata
understand,a intelege
kept,ținut
plan,plan
raise,a ridica
street,stradă
different,diferit
problem,problemă
break,pauză
line,linia
early,din timp
cut,a tăia
cold,rece
paper,hârtie
scream,ţipăt
instead,in schimb
stupid,prost
silence,tăcere
tree,copac
caught,prins
ear,ureche
food,alimente
full,deplin
four,Patru
cause,cauză
fuck,La dracu
explain,explica
expect,aştepta
fight,luptă
